"Product","Branch","City","Customer type","Quantity","Unit price","Payment","Rating"
"Fashion accessories","Branch A","Yangon","Normal","2","51.52","UPI","3.5"
"Home and lifestyle","Branch B","Mandalay","Normal","5","21.53","Credit card","3.7"
"Food and beverages","Branch C","Naypyitaw","Normal","2","43.58","E-wallet","3.6"
"Food and beverages","Branch A","Yangon","Normal","4","93.77","Credit card","4"
"Health and beauty","Branch B","Mandalay","Member","9","95.62","E-wallet","4"
"Food and beverages","Branch C","Naypyitaw","Member","5","87.11","UPI","3.2"
"Electronic accessories","Branch A","Yangon","Normal","6","95.73","Cash","3.8"
"Health and beauty","Branch B","Mandalay","Member","4","76.8","E-wallet","4.2"
"Food and beverages","Branch C","Naypyitaw","Normal","1","79.77","UPI","4.1"
"Health and beauty","Branch A","Yangon","Member","8","14.07","UPI","3.5"
"Sports and travel","Branch B","Mandalay","Normal","2","10.28","UPI","3.9"
"Health and beauty","Branch C","Naypyitaw","Normal","5","79.18","E-wallet","4.6"
"Home and lifestyle","Branch A","Yangon","Member","5","50.8","Credit card","4.3"
"Sports and travel","Branch B","Mandalay","Member","4","57.56","Cash","4.1"
"Home and lifestyle","Branch C","Naypyitaw","Normal","5","55.68","Credit card","4.3"
"Fashion accessories","Branch A","Yangon","Member","4","59.37","Cash","4.4"
"Electronic accessories","Branch B","Mandalay","Normal","6","55.42","E-wallet","3.1"
"Health and beauty","Branch C","Naypyitaw","Normal","2","97.37","UPI","4"
"Sports and travel","Branch A","Yangon","Member","10","89.08","Credit card","3.6"
"Food and beverages","Branch B","Mandalay","Normal","9","82.95","E-wallet","3.7"
"Sports and travel","Branch C","Naypyitaw","Normal","9","92.56","UPI","4.1"
"Food and beverages","Branch A","Yangon","Normal","6","25.29","Credit card","4.1"
"Sports and travel","Branch B","Mandalay","Member","2","60.62","Cash","3.7"
"Fashion accessories","Branch C","Naypyitaw","Member","5","16.44","UPI","4.7"
"Food and beverages","Branch A","Yangon","Member","4","63.08","UPI","4.3"
"Electronic accessories","Branch B","Mandalay","Member","7","80.16","UPI","3.4"
"Electronic accessories","Branch C","Naypyitaw","Normal","6","73.09","Credit card","4.6"
"Health and beauty","Branch A","Yangon","Member","6","39.98","Credit card","4.8"
"Electronic accessories","Branch B","Mandalay","Normal","7","10.98","E-wallet","3.1"
"Home and lifestyle","Branch C","Naypyitaw","Member","7","81.11","Cash","4.1"
"Health and beauty","Branch A","Yangon","Normal","1","75.42","UPI","4.2"
"Food and beverages","Branch B","Mandalay","Normal","8","23.72","UPI","4.9"
"Home and lifestyle","Branch C","Naypyitaw","Member","7","80.66","Cash","4.3"
"Fashion accessories","Branch A","Yangon","Normal","6","22.95","E-wallet","4"
"Fashion accessories","Branch B","Mandalay","Member","3","10.58","UPI","3.6"
"Health and beauty","Branch C","Naypyitaw","Normal","3","51.52","UPI","3.7"
"Food and beverages","Branch A","Yangon","Member","7","30.36","Cash","4.4"
"Sports and travel","Branch B","Mandalay","Normal","4","32.26","UPI","4"
"Fashion accessories","Branch C","Naypyitaw","Member","5","49.9","Cash","3.7"
"Health and beauty","Branch A","Yangon","Member","7","82.66","UPI","4.7"
"Home and lifestyle","Branch B","Mandalay","Member","6","62.97","Credit card","3.1"
"Food and beverages","Branch C","Naypyitaw","Member","1","63.01","E-wallet","4.9"
"Sports and travel","Branch A","Yangon","Member","3","15.77","Credit card","4.5"
"Fashion accessories","Branch B","Mandalay","Member","8","55.77","Credit card","4.6"
"Sports and travel","Branch C","Naypyitaw","Member","3","57.54","E-wallet","3.6"
"Fashion accessories","Branch A","Yangon","Member","7","17.23","E-wallet","3.4"
"Sports and travel","Branch B","Mandalay","Member","3","66.03","UPI","4.7"
"Fashion accessories","Branch C","Naypyitaw","Member","3","29.36","UPI","3"
"Home and lifestyle","Branch A","Yangon","Member","4","96.31","Cash","4.9"
"Fashion accessories","Branch B","Mandalay","Normal","8","95.87","UPI","4.6"
"Sports and travel","Branch C","Naypyitaw","Member","2","70.49","Cash","3.2"
"Home and lifestyle","Branch A","Yangon","Normal","6","88.47","Cash","3.2"
"Electronic accessories","Branch B","Mandalay","Member","9","18.71","E-wallet","3.7"
"Electronic accessories","Branch C","Naypyitaw","Member","8","23.95","Cash","4.7"
"Home and lifestyle","Branch A","Yangon","Normal","2","82.38","Credit card","4.4"
"Home and lifestyle","Branch B","Mandalay","Normal","3","33.36","Cash","4.2"
"Electronic accessories","Branch C","Naypyitaw","Normal","7","50.58","Cash","3.1"
"Food and beverages","Branch A","Yangon","Normal","7","47.3","E-wallet","4.4"
"Home and lifestyle","Branch B","Mandalay","Normal","1","44.58","Cash","4.8"
"Health and beauty","Branch C","Naypyitaw","Member","8","83.02","Credit card","3.6"
"Food and beverages","Branch A","Yangon","Member","4","52.6","UPI","3.6"
"Electronic accessories","Branch B","Mandalay","Normal","2","80.46","UPI","3.6"
"Fashion accessories","Branch C","Naypyitaw","Normal","1","83.25","Credit card","4.4"
"Fashion accessories","Branch A","Yangon","Member","10","64.73","Cash","4.3"
"Health and beauty","Branch B","Mandalay","Normal","6","37.38","Credit card","3.1"
"Home and lifestyle","Branch C","Naypyitaw","Member","6","79.91","Credit card","5"
"Food and beverages","Branch A","Yangon","Member","9","14.7","UPI","4.9"
"Home and lifestyle","Branch B","Mandalay","Normal","9","33.23","E-wallet","3.3"
"Electronic accessories","Branch C","Naypyitaw","Member","9","95.6","Cash","3.6"
"Electronic accessories","Branch A","Yangon","Normal","4","85.03","Credit card","3.2"
"Sports and travel","Branch B","Mandalay","Member","7","29.75","Cash","3.3"
"Food and beverages","Branch C","Naypyitaw","Normal","9","75.2","E-wallet","3.3"
"Food and beverages","Branch A","Yangon","Normal","9","51.57","E-wallet","4.3"
"Electronic accessories","Branch B","Mandalay","Normal","7","74.8","Cash","4.7"
"Food and beverages","Branch C","Naypyitaw","Member","8","67.22","E-wallet","3.6"
"Home and lifestyle","Branch A","Yangon","Member","5","73.88","Cash","4.3"
"Fashion accessories","Branch B","Mandalay","Member","7","16.53","UPI","3.6"
"Health and beauty","Branch C","Naypyitaw","Member","2","68.89","E-wallet","4.1"
"Electronic accessories","Branch A","Yangon","Normal","10","66.71","Credit card","4.5"
"Health and beauty","Branch B","Mandalay","Member","5","87.01","E-wallet","4"
"Health and beauty","Branch C","Naypyitaw","Normal","4","23.37","Cash","3.6"
"Health and beauty","Branch A","Yangon","Normal","9","26.77","Cash","3.4"
"Health and beauty","Branch B","Mandalay","Member","4","59.21","Cash","3"
"Fashion accessories","Branch C","Naypyitaw","Normal","6","81.75","Credit card","3.8"
"Electronic accessories","Branch A","Yangon","Member","2","70.95","E-wallet","5"
"Home and lifestyle","Branch B","Mandalay","Normal","5","48.29","E-wallet","3.7"
"Sports and travel","Branch C","Naypyitaw","Normal","7","83.18","Cash","4.5"
"Sports and travel","Branch A","Yangon","Normal","2","14.13","E-wallet","4.3"
"Home and lifestyle","Branch B","Mandalay","Member","8","14.18","E-wallet","3.1"
"Food and beverages","Branch C","Naypyitaw","Member","4","33.38","E-wallet","4.6"
"Food and beverages","Branch A","Yangon","Normal","4","95.79","E-wallet","3.4"
"Sports and travel","Branch B","Mandalay","Normal","7","51.57","Credit card","3.6"
"Fashion accessories","Branch C","Naypyitaw","Member","9","36.63","Cash","4.6"
"Health and beauty","Branch A","Yangon","Member","5","93.7","UPI","5"
"Fashion accessories","Branch B","Mandalay","Member","10","42.06","UPI","4.3"
"Home and lifestyle","Branch C","Naypyitaw","Member","10","96.92","UPI","4.3"
"Home and lifestyle","Branch A","Yangon","Member","5","20.72","E-wallet","3.5"
"Food and beverages","Branch B","Mandalay","Normal","1","28.2","Credit card","3.5"
"Home and lifestyle","Branch C","Naypyitaw","Member","2","51.04","Credit card","4"
"Sports and travel","Branch A","Yangon","Normal","8","45.92","Cash","3.8"
"Fashion accessories","Branch B","Mandalay","Member","5","72.61","Cash","3.7"
"Home and lifestyle","Branch C","Naypyitaw","Normal","8","91.95","UPI","3.9"
"Electronic accessories","Branch A","Yangon","Normal","6","22.85","Cash","4.1"
"Home and lifestyle","Branch B","Mandalay","Member","7","84.59","UPI","3.9"
"Food and beverages","Branch C","Naypyitaw","Member","7","22.89","E-wallet","3.8"
"Food and beverages","Branch A","Yangon","Normal","10","97.61","UPI","4.8"
"Health and beauty","Branch B","Mandalay","Member","3","68.7","Credit card","3"
"Fashion accessories","Branch C","Naypyitaw","Normal","10","23.98","Credit card","4.5"
"Fashion accessories","Branch A","Yangon","Member","1","27.33","UPI","4.6"
"Sports and travel","Branch B","Mandalay","Member","9","68.02","Cash","3.7"
"Health and beauty","Branch C","Naypyitaw","Normal","9","15.09","Credit card","4"
"Home and lifestyle","Branch A","Yangon","Normal","4","93","E-wallet","3.5"
"Fashion accessories","Branch B","Mandalay","Normal","8","69.61","Cash","3.1"
"Fashion accessories","Branch C","Naypyitaw","Normal","8","57.69","UPI","4.2"
"Sports and travel","Branch A","Yangon","Normal","6","94.55","E-wallet","3.2"
"Health and beauty","Branch B","Mandalay","Member","6","18.62","Credit card","4.4"
"Electronic accessories","Branch C","Naypyitaw","Normal","6","13.2","Credit card","4.9"
"Fashion accessories","Branch A","Yangon","Normal","2","48.22","UPI","4.7"
"Sports and travel","Branch B","Mandalay","Normal","2","39.51","Cash","4.5"
"Health and beauty","Branch C","Naypyitaw","Normal","1","53.74","Credit card","3.4"
"Health and beauty","Branch A","Yangon","Normal","3","82.05","Credit card","4"
"Food and beverages","Branch B","Mandalay","Member","2","82.31","UPI","3.3"
"Health and beauty","Branch C","Naypyitaw","Member","7","95.59","Cash","3.3"
"Health and beauty","Branch A","Yangon","Member","8","24.09","Cash","5"
"Health and beauty","Branch B","Mandalay","Normal","6","12.82","E-wallet","3.8"
"Food and beverages","Branch C","Naypyitaw","Member","7","71.33","Cash","4.3"
"Sports and travel","Branch A","Yangon","Member","7","93.38","Cash","5"
"Food and beverages","Branch B","Mandalay","Member","9","23.5","Credit card","5"
"Health and beauty","Branch C","Naypyitaw","Normal","5","24.18","UPI","5"
"Sports and travel","Branch A","Yangon","Member","8","34.95","Credit card","4.6"
"Health and beauty","Branch B","Mandalay","Member","1","51.82","Cash","3.9"
"Sports and travel","Branch C","Naypyitaw","Member","5","23.16","E-wallet","4.6"
"Electronic accessories","Branch A","Yangon","Member","5","42.7","Credit card","4.2"
"Health and beauty","Branch B","Mandalay","Member","3","72.31","E-wallet","3.8"
"Home and lifestyle","Branch C","Naypyitaw","Normal","10","55.8","UPI","4"
"Electronic accessories","Branch A","Yangon","Member","9","94.1","UPI","5"
"Electronic accessories","Branch B","Mandalay","Normal","6","56.79","Credit card","3.2"
"Sports and travel","Branch C","Naypyitaw","Normal","10","95.54","Cash","3.8"
"Electronic accessories","Branch A","Yangon","Normal","10","25.47","UPI","3"
"Food and beverages","Branch B","Mandalay","Member","7","57.03","Cash","4.5"
"Fashion accessories","Branch C","Naypyitaw","Normal","4","45.52","E-wallet","3.2"
"Fashion accessories","Branch A","Yangon","Member","2","93.34","E-wallet","4.4"
"Electronic accessories","Branch B","Mandalay","Normal","6","85.1","Credit card","3"
